From,To
@SacConnector,"@kfbk,@DrPanMD,@JodiTraversaro"
@drninashapiro,"@KPCC,@DrPanMD"
@jdelugach,"@KPCC,@DrPanMD"
@slealey53,"@KPCC,@DrPanMD"
@SusanLidia_e,"@KPCC,@DrPanMD"
@wonkdontrun,"@KPCC,@NPR"
@DotFranny,"@kristieburchit,@GathrFilms"
@jasmineweebchan,"@kwh,@VoiceOfOBrien"
@AngeliqueAshby,"@LadySylvia,@ccadelago,@AngeliqueAshby,@DrPanMD,@Steinberg4Sac"
@ladytrevelyans,"@LadySylvia,@ccadelago,@AngeliqueAshby,@DrPanMD,@Steinberg4Sac"
@CalicoInsite,@LaLaRueFrench75
@dudewtfnow,@LaLaRueFrench75
@mlisag123,@LaLaRueFrench75
@dmilat68,@LaLaRueFrench75
@Immunize_USA,@LaLaRueFrench75
@dmilat68,"@LaLaRueFrench75,@Tannersâ€¦"
@monis1013,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@monis1013,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@MalariaBee,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@meenee,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@VaccineAlertFYI,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@DrPanMD,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@jlb13,"@lalger2020,@rockermom53,@VaxCalc,@MOMMYCAT56"
@KatWaterflame,@LauraBaileyVO
@SynergistHealth,@LauraBaileyVO
@King_Cripple207,"@LauraBaileyVO,@WillingBlam"
@newhousel,@lauramedison
@angelakaplan7,"@leftsidestoryUS,@censorednewsnow,@WakeUp,@Mbksv,@liciahurst,@detroitremedy71,@JackShainman,@op_pharma,@MoForPal"
@tweybright,"@leftsidestoryUS,@censorednewsnow,@WakeUp,@Mbksv,@liciahurst,@detroitremedy71,@JackShainman,@op_pharma,@MoForPal"
@Scarsworn,@LemonandHoneyCo
@bakersfieldnow,@Lexie29News
@LandeeCrier,@lightlovetruth
@joegooding,@LiliaSfo
@Subscatter,@liposuctor
@joegooding,"@lordthx1139,@doritmi,@PressHerald"
@infiniteluv4evr,@LotusOak
@infiniteluv4evr,@LotusOak
@BlueSkyGrannie,@LotusOak
@abramovitzra,@LotusOak
@abramovitzra,@LotusOak
@Vibriancewell,@LotusOak
@michelle8660,@LotusOak
@littlemsgooner,@LotusOak
@littlemsgooner,@LotusOak
@tlewis44,@LotusOak
@orteli_99,@LotusOak
@lbragen,@LotusOak
@AnonymTipster,@LotusOak
@LindaBrierty,@LotusOak
@GangstaOfBoats,@LotusOak
@dgtaylor60,@LotusOak
@annmargrit,@LotusOak
@ColdWarrior2000,@LotusOak
@soybean52,@LotusOak
@wyomingbroncos,"@mab8663Panto,@BDubCO,@AG_Conservative,@AriMelber"
@kaushik_k_,"@ManilSuri,@JoelAchenbach"
@DotFranny,@marcellakroll
@StepPalmer,@MarcellaPiperTe
@dawterofliberty,@MarcellaPiperTe
@MinneapolisAcu,@MarcellaPiperTe
@BethIsAwake,@MarcellaPiperTe
@savyone23,@MarcellaPiperTe
@SummersWeIIness,@MarcellaPiperTe
@FluorideFreeAus,@MarcellaPiperTe
@wendyblazer65,"@MarcellaPiperTe,@healthyown"
@DanaElizabeth69,"@MarianeEriksson,@"
@King_Cripple207,"@Marisha_Ray,@LauraBaileyVO,@Marisha_Ray"
@DrPanMD,"@Marisha_Ray,@LauraBaileyVO,@Marisha_Ray"
@PedsGeekMD,"@MaryKretzmann,@DrPanMD"
@AutismOne,"@MaryKretzmann,@DrPanMD"
@PedsGeekMD,"@MaryKretzmann,@DrPanMD"
@dawterofliberty,@May12org
@dawterofliberty,@May12org
@dawterofliberty,@May12org
@NCHforDocs,@MBradyMD
@0xKruzr,"@MBVanElzakker,@kgosztola,@DrJillStein"
@DSN_MikeJohnsen,@McKideaShare
@DSN_MikeJohnsen,"@McKideaShare,@HealthMart"
@DSN_MikeJohnsen,"@McKideaShare,@HealthMart"
@DSN_MikeJohnsen,"@McKideaShare,@HealthMart"
@DSN_MikeJohnsen,"@McKideaShare,@HealthMart,@DrugStoreNews"
@ChopChopJapchae,"@MetaFouric,@VoiceOfOBrien"
@rayQuanTezm,"@MetaFouric,@VoiceOfOBrien"
